   DATE       TIME    MULTI   C0%   CKMOD  BAT_mW  TEMP    VID   POWER
2021-01-09  16:45:35  33.27   62.8  100.0       0   65   0.9822   20.3   PL2
2021-01-09  16:45:35  33.45   65.1  100.0       0   64   1.1086   19.4   PL2
2021-01-09  16:45:35  33.73   62.2  100.0       0   63   0.9983   20.3   PL2
2021-01-09  16:45:35  32.43   68.3  100.0       0   64   1.1122   20.2   PL2
2021-01-09  16:45:35  34.03   60.4  100.0       0   64   1.0454   19.3   PL2
2021-01-09  16:45:35  33.72   62.8  100.0       0   64   1.0222   20.4   PL2
2021-01-09  16:45:35  32.45   70.2  100.0       0   65   1.1066   19.5   PL2
2021-01-09  16:45:36  32.58   68.2  100.0       0   65   0.9187   20.0   PL2
2021-01-09  16:45:36  33.36   63.8  100.0       0   65   1.0406   20.1   PL2
2021-01-09  16:45:36  32.95   65.7  100.0       0   64   1.0679   20.3   PL2
2021-01-09  16:45:36  32.84   68.2  100.0       0   65   1.1792   19.5   PL2
2021-01-09  16:45:36  33.00   63.1  100.0       0   64   1.0918   20.4   PL2
2021-01-09  16:45:36  32.94   64.4  100.0       0   64   1.1752   19.5   PL2
2021-01-09  16:45:36  33.64   61.0  100.0       0   66   1.2690   19.9   PL2
2021-01-09  16:45:36  34.09   60.0  100.0       0   64   0.9473   20.2   PL2
2021-01-09  16:45:37  32.20   68.6  100.0       0   65   0.9597   20.4   PL2
2021-01-09  16:45:37  33.46   65.6  100.0       0   65   1.2616   20.1   PL2
2021-01-09  16:45:37  32.71   69.1  100.0       0   65   1.1101   19.2   PL2
2021-01-09  16:45:37  33.33   65.1  100.0       0   64   0.9225   20.1   PL2
2021-01-09  16:45:37  33.65   63.4  100.0       0   66   1.2119   19.9   PL2
2021-01-09  16:45:37  33.48   64.2  100.0       0   65   1.0177   20.6   PL2
2021-01-09  16:45:37  33.34   62.3  100.0       0   65   1.1013   19.6   PL2
2021-01-09  16:45:37  32.26   70.2  100.0       0   65   0.9208   19.5   PL2
2021-01-09  16:45:38  31.94   73.1  100.0       0   64   0.9219   20.3   PL2
2021-01-09  16:45:38  32.97   65.5  100.0       0   65   1.0350   19.6   PL2
2021-01-09  16:45:38  30.96   82.3  100.0       0   65   1.0406   20.0   PL2
2021-01-09  16:45:38  31.95   73.7  100.0       0   65   1.0409   20.6   PL2
2021-01-09  16:45:38  33.21   68.0  100.0       0   66   0.8986   19.5   PL2
2021-01-09  16:45:38  32.96   66.4  100.0       0   66   0.9740   19.8   PL2
2021-01-09  16:45:38  33.38   64.6  100.0       0   65   0.9438   20.5   PL2
2021-01-09  16:45:38  32.81   67.5  100.0       0   65   1.0303   19.8   PL2
2021-01-09  16:45:39  32.88   66.8  100.0       0   64   1.1929   20.2   PL2
2021-01-09  16:45:39  33.25   64.0  100.0       0   64   0.9757   19.7   PL2
2021-01-09  16:45:39  32.52   70.1  100.0       0   66   1.1941   19.7   PL2
2021-01-09  16:45:39  33.03   66.0  100.0       0   66   1.0686   20.5   PL2
2021-01-09  16:45:39  34.66   64.9  100.0       0   70   1.2604   21.8   PL2
2021-01-09  16:45:39  33.37   71.6  100.0       0   67   1.0442   22.4   PL2
2021-01-09  16:45:39  33.24   64.2  100.0       0   64   0.9746   20.1   PL2
2021-01-09  16:45:39  32.68   66.8  100.0       0   65   1.0012   19.7   PL2
2021-01-09  16:45:40  33.23   65.6  100.0       0   65   0.9773   20.0   PL2
2021-01-09  16:45:40  33.27   64.9  100.0       0   65   1.0833   20.2   PL2
2021-01-09  16:45:40  32.53   68.4  100.0       0   65   1.0255   20.0   PL2
2021-01-09  16:45:40  33.21   63.3  100.0       0   66   1.0614   20.0   PL2
2021-01-09  16:45:40  32.99   67.2  100.0       0   65   0.9135   20.1   PL2
2021-01-09  16:45:40  33.28   63.1  100.0       0   66   0.9276   19.5   PL2
2021-01-09  16:45:40  31.74   72.8  100.0       0   64   1.0251   20.4   PL2
2021-01-09  16:45:40  31.09   80.2  100.0       0   65   0.9780   19.5   PL2
2021-01-09  16:45:41  30.80   79.4  100.0       0   65   0.9890   20.3   PL2
2021-01-09  16:45:41  30.57   81.2  100.0       0   65   1.0089   19.6   PL2
2021-01-09  16:45:41  31.12   81.2  100.0       0   65   0.9811   20.8   PL2
2021-01-09  16:45:41  33.09   65.3  100.0       0   63   1.1681   19.7   PL2
2021-01-09  16:45:41  33.45   65.4  100.0       0   65   0.9451   19.9   PL2
2021-01-09  16:45:41  33.20   63.9  100.0       0   65   0.9691   19.8   PL2
2021-01-09  16:45:41  33.92   61.3  100.0       0   64   1.1351   19.5   PL2
2021-01-09  16:45:41  33.40   64.0  100.0       0   65   1.0532   20.2   PL2
2021-01-09  16:45:42  33.63   61.5  100.0       0   65   0.8959   20.5   PL2
2021-01-09  16:45:42  32.22   71.0  100.0       0   65   1.1550   19.6   PL2
2021-01-09  16:45:42  32.92   67.8  100.0       0   65   1.1736   19.8   PL2
2021-01-09  16:45:42  33.10   66.3  100.0       0   65   1.1709   19.8   PL2
2021-01-09  16:45:42  33.02   67.3  100.0       0   65   1.0948   20.0   PL2
2021-01-09  16:45:42  33.29   64.5  100.0       0   64   1.2030   19.9   PL2
2021-01-09  16:45:42  33.46   63.7  100.0       0   66   1.0173   20.2   PL2
2021-01-09  16:45:42  32.16   73.1  100.0       0   68   0.8881   19.8   PL2
2021-01-09  16:45:43  31.73   74.2  100.0       0   65   1.0527   20.2   PL2
2021-01-09  16:45:43  33.02   66.0  100.0       0   65   1.1882   20.1   PL2
2021-01-09  16:45:43  32.64   69.3  100.0       0   65   0.9116   19.9   PL2
2021-01-09  16:45:43  32.93   65.2  100.0       0   65   0.9628   20.2   PL2
2021-01-09  16:45:43  33.11   64.5  100.0       0   66   1.0238   19.5   PL2
2021-01-09  16:45:43  32.12   72.2  100.0       0   65   1.1260   20.1   PL2
2021-01-09  16:45:43  33.42   64.9  100.0       0   63   1.0043   19.8   PL2
2021-01-09  16:45:43  32.56   67.1  100.0       0   65   1.2224   20.2   PL2
2021-01-09  16:45:44  32.71   67.7  100.0       0   64   1.0621   19.7   PL2
2021-01-09  16:45:44  33.28   64.8  100.0       0   64   0.9620   20.0   PL2
2021-01-09  16:45:44  32.67   66.9  100.0       0   65   1.0281   20.2   PL2
2021-01-09  16:45:44  33.29   64.3  100.0       0   65   0.9983   19.6   PL2
2021-01-09  16:45:44  33.45   65.0  100.0       0   65   1.0992   20.4   PL2
2021-01-09  16:45:44  32.91   67.5  100.0       0   65   1.0419   19.7   PL2
2021-01-09  16:45:44  33.36   63.7  100.0       0   64   1.2269   20.0   PL2
2021-01-09  16:45:44  32.79   66.4  100.0       0   66   0.9083   19.7   PL2
2021-01-09  16:45:45  33.47   63.0  100.0       0   64   1.0790   20.2   PL2
2021-01-09  16:45:45  33.70   62.6  100.0       0   66   1.2645   19.7   PL2
2021-01-09  16:45:45  33.52   64.3  100.0       0   64   1.0596   20.0   PL2
2021-01-09  16:45:45  32.99   66.1  100.0       0   64   1.0084   19.8   PL2
2021-01-09  16:45:45  32.66   67.8  100.0       0   66   0.9659   20.3   PL2
2021-01-09  16:45:45  32.19   71.4  100.0       0   65   1.0382   19.9   PL2
2021-01-09  16:45:45  32.59   69.4  100.0       0   64   1.0093   20.1   PL2
2021-01-09  16:45:45  31.92   73.8  100.0       0   64   1.0255   19.3   PL2
2021-01-09  16:45:46  31.80   73.4  100.0       0   65   0.9084   20.8   PL2
2021-01-09  16:45:46  31.85   70.9  100.0       0   64   0.9720   19.1   PL2
2021-01-09  16:45:46  32.19   71.1  100.0       0   64   0.9808   20.5   PL2
2021-01-09  16:45:46  32.27   71.1  100.0       0   66   0.9443   19.5   PL2
2021-01-09  16:45:46  32.75   65.5  100.0       0   65   1.0289   20.5   PL2
2021-01-09  16:45:46  31.96   72.4  100.0       0   64   1.1011   19.7   PL2
2021-01-09  16:45:46  33.29   65.3  100.0       0   65   1.0031   19.7   PL2
2021-01-09  16:45:46  32.86   67.3  100.0       0   65   1.0026   19.9   PL2
2021-01-09  16:45:47  32.14   70.7  100.0       0   65   1.1797   20.2   PL2
2021-01-09  16:45:47  32.77   66.9  100.0       0   64   0.9841   20.0   PL2
2021-01-09  16:45:47  31.04   78.0  100.0       0   66   1.0449   19.6   PL2
2021-01-09  16:45:47  31.67   72.2  100.0       0   66   0.9088   20.2   PL2
2021-01-09  16:45:47  33.05   64.2  100.0       0   65   1.0548   19.9   PL2
2021-01-09  16:45:47  31.41   75.9  100.0       0   66   0.9443   20.1   PL2
2021-01-09  16:45:47  32.07   69.9  100.0       0   65   0.9540   19.6   PL2
2021-01-09  16:45:47  31.35   75.5  100.0       0   66   0.9106   20.0   PL2
2021-01-09  16:45:48  30.67   81.8  100.0       0   67   0.9189   20.1   PL2
2021-01-09  16:45:48  32.72   67.7  100.0       0   66   1.0559   20.1   PL2
2021-01-09  16:45:48  32.40   69.7  100.0       0   66   0.9437   20.0   PL2
2021-01-09  16:45:48  32.34   68.9  100.0       0   66   0.9753   19.6   PL2
2021-01-09  16:45:48  32.65   66.5  100.0       0   65   1.1093   20.1   PL2
2021-01-09  16:45:48  32.17   73.6  100.0       0   65   0.9822   20.2   PL2
2021-01-09  16:45:48  32.57   67.7  100.0       0   66   1.0105   20.4   PL2
2021-01-09  16:45:48  32.37   65.9  100.0       0   66   1.1707   19.1   PL2
2021-01-09  16:45:49  32.19   71.3  100.0       0   65   1.0032   20.5   PL2
2021-01-09  16:45:49  32.60   66.2  100.0       0   66   0.9692   19.6   PL2
2021-01-09  16:45:49  32.01   73.4  100.0       0   65   1.1096   19.8   PL2
2021-01-09  16:45:49  30.66   82.3  100.0       0   65   0.9869   20.0   PL2
2021-01-09  16:45:49  33.09   65.0  100.0       0   65   1.0410   20.4   PL2
2021-01-09  16:45:49  32.64   67.6  100.0       0   65   0.9456   19.8   PL2
2021-01-09  16:45:49  32.56   68.4  100.0       0   66   1.1119   19.9   PL2
2021-01-09  16:45:49  32.32   69.6  100.0       0   66   0.9008   19.7   PL2
2021-01-09  16:45:50  32.50   67.7  100.0       0   65   1.0890   20.2   PL2
2021-01-09  16:45:50  32.73   66.5  100.0       0   67   1.0297   19.6   PL2
2021-01-09  16:45:50  32.06   73.7  100.0       0   66   1.0659   20.0   PL2
2021-01-09  16:45:50  32.39   70.0  100.0       0   65   1.1501   20.8   PL2
2021-01-09  16:45:50  32.77   65.4  100.0       0   65   1.2683   19.2   PL2
2021-01-09  16:45:50  33.00   66.2  100.0       0   65   1.0934   20.7   PL2
2021-01-09  16:45:50  32.72   70.8  100.0       0   66   1.2502   19.7   PL2
2021-01-09  16:45:50  32.68   70.1  100.0       0   64   1.0719   20.0   PL2
2021-01-09  16:45:51  32.32   70.9  100.0       0   64   1.1754   19.8   PL2
2021-01-09  16:45:51  33.09   65.3  100.0       0   65   1.1744   19.8   PL2
2021-01-09  16:45:51  32.51   69.4  100.0       0   66   0.9058   20.0   PL2
2021-01-09  16:45:51  32.40   70.4  100.0       0   65   0.8625   19.8   PL2
2021-01-09  16:45:51  32.85   64.8  100.0       0   64   1.0597   20.4   PL2
2021-01-09  16:45:51  32.02   69.9  100.0       0   64   0.9049   19.9   PL2
2021-01-09  16:45:51  32.93   66.7  100.0       0   65   0.9974   19.8   PL2
2021-01-09  16:45:51  32.49   67.2  100.0       0   64   1.0963   20.2   PL2
2021-01-09  16:45:52  33.18   64.2  100.0       0   64   1.0588   19.8   PL2
2021-01-09  16:45:52  33.19   65.4  100.0       0   65   1.0822   19.7   PL2
2021-01-09  16:45:52  32.25   70.9  100.0       0   65   1.0259   20.0   PL2
2021-01-09  16:45:52  32.62   66.5  100.0       0   67   0.9843   20.0   PL2
2021-01-09  16:45:52  32.48   74.4  100.0       0   65   0.9031   20.0   PL2
2021-01-09  16:45:52  32.57   67.2  100.0       0   64   0.9979   20.4   PL2
2021-01-09  16:45:52  32.94   66.9  100.0       0   65   1.0181   19.8   PL2
2021-01-09  16:45:52  32.22   69.6  100.0       0   66   1.0278   19.7   PL2
2021-01-09  16:45:53  31.33   76.7  100.0       0   65   1.1350   20.0   PL2
2021-01-09  16:45:53  32.96   66.4  100.0       0   65   1.0028   19.7   PL2
2021-01-09  16:45:53  32.87   65.7  100.0       0   66   1.0054   20.4   PL2
2021-01-09  16:45:53  32.25   69.2  100.0       0   65   0.9431   19.5   PL2
2021-01-09  16:45:53  33.24   63.8  100.0       0   66   1.0028   20.3   PL2
2021-01-09  16:45:53  32.99   64.9  100.0       0   64   1.2051   20.2   PL2
2021-01-09  16:45:53  33.38   64.7  100.0       0   64   1.0068   19.8   PL2
2021-01-09  16:45:53  33.10   63.5  100.0       0   63   0.9415   19.8   PL2
2021-01-09  16:45:54  33.05   66.8  100.0       0   64   0.9774   19.7   PL2
2021-01-09  16:45:54  32.61   66.4  100.0       0   64   1.1194   20.1   PL2
2021-01-09  16:45:54  32.36   69.6  100.0       0   65   0.9232   20.1   PL2
2021-01-09  16:45:54  33.59   61.7  100.0       0   65   0.9546   19.9   PL2
2021-01-09  16:45:54  33.03   63.9  100.0       0   64   0.9027   19.8   PL2
2021-01-09  16:45:54  32.84   66.9  100.0       0   65   1.2007   20.5   PL2
